Absolute Magnitude,Relative Velocity km per sec,Miss Dist.(kilometers),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Eccentricity,Inclination,Asc Node Longitude,Perihelion Distance,Perihelion Arg,Perihelion Time,Mean Anomaly,Avg_Diameter_KM,Hazardous
-0.231042085,-1.077139036,1.116075054,0.481822194,-0.631719549,-0.341048562,0.238215577,-0.671954505,1.377190655,-0.021172214,-1.223886412,0.459190538,0.778393209,-0.209410581,1
-0.334824483,0.568146106,0.865921387,-0.167954996,1.158650259,0.323901798,-0.171234173,1.375315026,-0.343192496,-0.393267054,1.247896994,0.070817463,-0.069092983,-0.158405568,0
-0.680765809,-0.874891797,-1.411842765,-1.142620781,-0.434843562,-0.403261415,-0.190222961,-0.835467123,0.845572672,0.567722221,0.623011078,0.41557982,1.039404283,0.072788758,1
1.775417608,-0.383538956,0.195799624,0.806710789,-0.850680956,0.029804676,-0.920001531,-0.500038387,-1.113476629,0.704524137,-1.596340782,0.184539609,-1.045927619,-0.529863968,0
-0.231042085,-0.566336842,1.036159133,-0.817732186,-0.526325108,0.079090183,-0.953978979,0.312713198,-0.84759914,0.63752949,-0.248000588,0.091456664,-0.428186145,-0.209410581,1
-0.922924738,-0.433594947,0.932941212,-0.817732186,2.103136672,-0.268332241,1.00247968,0.416450076,0.065991628,-0.973351972,0.137328936,0.297941882,1.610095758,0.311088268,0
-0.922924738,-0.433595272,0.93293039,-0.817732186,2.103136672,-0.268332241,1.002479885,0.416449869,0.065991645,-0.973352207,0.137328847,0.297941882,1.610096017,0.311088268,0
-1.061301268,1.433137115,-0.875268899,-1.142620781,0.18205853,-0.109164293,0.372419686,1.94980946,-0.577096334,-0.547357823,1.009086867,0.544769186,0.052181569,0.486000478,0
-1.545619125,0.466643628,0.696274779,-1.142620781,0.299411061,0.2665367,-0.800279993,0.808533856,-0.890383649,0.245095968,1.637555384,0.522735043,0.009940484,1.427391859,0
-0.265636218,-0.146891943,-0.720061252,-1.142620781,-0.724480302,1.265982138,0.935680193,-1.034678105,-1.641818108,-1.736718803,0.674709592,0.182879872,-0.570345681,-0.193185583,1
0.045710976,1.15880967,-0.382337589,0.806710789,-0.908204662,1.597245379,0.516838415,0.897282925,-0.533052309,-1.597982975,0.357560463,0.284126984,-1.633741459,-0.315504281,0
1.221911486,0.453044295,1.195186344,0.156933599,-0.89108417,0.053235491,-0.985057153,0.033871704,-0.099004324,0.715777245,-1.642595817,0.219170591,-1.251118944,-0.503919393,0
0.945158425,-0.25400277,0.706690772,0.806710789,-0.703622036,1.072879907,-0.308763107,-0.460911102,-1.468695974,-0.773474082,-0.535922257,0.224127558,-1.064199338,-0.481753277,0
-1.095895401,-0.430703965,1.192719813,-1.142620781,1.45844977,-0.156833882,-1.292569195,0.721659276,-0.481480431,1.288877853,1.099473559,0.263605352,-1.543732581,0.53499919,0
-1.199677799,3.515215881,0.303088017,-1.142620781,0.225084173,-1.465727665,2.65221246,-0.306464534,-0.086643937,-2.222701788,0.149169187,0.175948592,-1.336407706,0.696291208,0
1.01434669,1.541386768,1.640770556,0.806710789,-0.779073075,1.481707224,0.327700484,0.584701688,0.69197841,-1.428607561,-1.374696528,0.208933606,-0.786682031,-0.488082199,0
-0.784548207,-1.492202934,-0.123153702,-1.142620781,1.749555107,-1.024581982,-0.027822103,-0.705371801,-0.580955962,1.675270188,-1.445626606,0.046015681,-0.919313066,0.165602627,0
-0.438606881,0.829410609,1.518074233,-0.817732186,0.178289577,1.141556433,0.389210624,-0.465946083,-0.559502458,-1.308055124,-1.705665966,0.254890411,-1.348964149,-0.099843975,0
0.011116843,-0.746593298,1.40264361,-0.167954996,-0.624734306,0.255225272,-0.680821124,-0.762574681,-1.387732538,0.207218153,0.847157841,0.045337805,-0.014557694,-0.304279325,0
0.149493374,-0.829802268,-1.025548023,0.156933599,-0.329801318,1.181954389,-1.281163379,-0.687095379,0.055197648,-0.157029058,-0.901343956,0.434950122,0.212289436,-0.346237842,0
1.325693884,-1.277395039,-0.008847765,0.481822194,-0.705868123,1.053488888,-1.170219312,-0.130410746,0.551093094,-0.145614931,0.421420145,0.333003951,1.240499644,-0.510340544,0
-0.576983411,-1.618995956,1.139175484,-0.492843591,1.124128294,-1.052860552,0.138014506,-0.851586417,-0.28952021,1.482935179,-1.403564381,0.243322036,-1.544861111,-0.008048742,0
-0.196447952,1.98124828,-1.428406055,-0.817732186,-0.769136242,0.88543339,2.692814345,-0.854020907,1.652308904,-2.867681798,1.337736048,-4.374982514,1.142536006,-0.224905335,1
0.564622966,-0.468881358,-1.625982056,-0.167954996,-0.79040319,-0.233589999,0.090070116,-0.870548681,1.637148293,0.01227347,0.514397499,0.196149292,-1.180136244,-0.434310224,0
0.564622966,0.492852098,1.215993935,-0.817732186,-0.409840887,1.003395422,0.082094471,-0.161515289,0.224787114,-1.019385221,1.26866857,0.391217597,0.6886195,-0.434310224,0
-0.334824483,0.720246053,-1.061374985,0.156933599,-0.756597802,0.075050387,-0.737949925,1.999659671,-0.222733224,0.311084142,-1.243605455,0.093257272,-0.373413515,-0.158405568,1
1.633235723,-0.933385639,-0.30992232,1.131599385,-0.832617008,0.660820753,-0.358393754,-0.856468035,1.457958774,-0.445589501,0.628835492,0.183784413,-0.823618768,-0.524901061,0
-1.026707136,-0.054098241,0.644567509,-1.142620781,-0.897100207,0.203515888,-1.06573589,-0.684947389,0.769217521,0.619016652,0.265836655,0.073764105,-0.252546113,0.439207072,1
0.114899241,-0.342890921,-1.406256709,-1.142620781,-0.532990273,0.02657284,0.253199837,-0.688010294,-0.20208086,-0.443372624,1.050088983,0.024976109,-0.023027891,-0.336461313,0
0.530028833,-0.279764697,-1.092270353,-1.142620781,-0.328308356,1.958403108,0.021558245,0.682202371,1.750484303,-1.426527454,1.615878667,-1.84285781,0.209175728,-0.428684419,0
2.190547199,-0.561768812,-0.755084409,0.806710789,-0.887348112,0.236642212,-0.845836027,-1.040990694,1.595071118,0.381475273,-0.617087701,0.072456016,-0.21916164,-0.53997603,0
-0.369418616,0.269854105,-0.575344706,0.806710789,-0.172049116,-0.474361818,0.303893288,1.023732639,-0.197794136,-0.007764126,-0.839156136,0.367516304,1.268901162,-0.139776776,0
0.184087507,-0.305850469,0.524103132,0.806710789,-0.410777864,1.334658664,0.727935506,-0.600010536,-1.046145415,-1.622668717,1.052646773,0.167229414,-0.38115047,-0.355574353,0
0.530028833,-0.279768894,-1.092272875,-1.142620781,-0.340345081,1.958403108,0.021482207,0.68216949,1.750470342,-1.426537275,1.615870639,-1.585038326,0.203412545,-0.428684419,0
0.460840568,-1.389492131,-1.168132767,-1.142620781,-0.655128476,0.51538811,-1.147521638,-1.085877549,-0.272938311,0.335545464,-1.75656044,0.308822848,1.508139587,-0.416624906,0
-0.853736473,0.093219237,1.623458989,-1.142620781,-0.815965393,0.503268724,1.535827885,-1.071193347,0.377752229,-1.899560676,-0.702031545,0.312334033,1.468998911,0.234997883,1
-0.196447952,-0.885291026,1.662764643,-1.142620781,-0.106291252,-0.055031032,-1.11888454,-0.959299342,-1.252909794,1.035637559,0.963718221,0.411858917,0.942225778,-0.224905335,0
-0.749954075,0.056498219,1.126252243,-1.142620781,2.257150932,0.399041996,1.252379406,0.584564707,0.544140042,-1.633652816,-0.038903191,0.47435801,0.205475114,0.133229499,0
-0.81914234,0.352068253,0.793538766,-1.142620781,-0.841641118,0.050003654,-1.011007117,0.950419742,-0.145410491,0.687780407,-1.684162037,0.526717564,0.142863829,0.199501453,1
1.775417608,-0.90938919,-1.273905394,1.131599385,-0.891302909,0.306126697,-0.891972287,-0.543486565,1.536094115,0.33649119,1.029463207,0.097502469,-0.343950919,-0.529863968,0
0.564622966,-0.462289063,0.937950205,0.481822194,0.310176332,-0.289339178,-0.870636435,-0.481010785,-0.134906474,1.146066312,-1.502579037,-0.007051406,-0.1544891,-0.434310224,0
